fast_ema,slow_ema,net_profit,net_profit_pct,total_trades,win_rate,profit_factor,max_drawdown_pct,max_drawdown_dollars,sharpe_ratio,avg_holding_bars,min_holding_bars,max_holding_bars,winning_trades,losing_trades,gross_profit,gross_loss,max_drawdown_duration_bars
14,34,372.97,3.73,25,36.0,1.22,6.76,675.77,0.63,43.0,3,148,9,16,2075.51,1702.55,798
12,35,368.93,3.69,26,42.31,1.22,8.3,829.57,0.63,41.1,5,151,11,15,2053.41,1684.48,798
7,35,356.47,3.56,31,32.26,1.2,6.22,621.93,0.53,34.1,1,154,10,21,2146.3,1789.82,827
15,33,346.15,3.46,24,37.5,1.19,7.71,770.86,0.55,44.8,3,148,9,15,2135.42,1789.28,798
15,29,335.62,3.36,26,42.31,1.2,7.62,761.66,0.52,41.3,4,151,11,15,1993.64,1658.02,798
13,33,317.94,3.18,26,42.31,1.19,8.18,818.3,0.46,41.2,4,151,11,15,1992.62,1674.68,798
7,32,312.38,3.12,35,31.43,1.16,7.01,701.48,0.37,29.9,1,153,11,24,2284.6,1972.22,827
8,32,281.53,2.82,32,31.25,1.15,6.78,677.59,0.3,32.8,1,153,10,22,2150.87,1869.34,827
13,32,280.46,2.8,26,42.31,1.16,8.44,843.67,0.34,41.1,4,151,11,15,1981.58,1701.11,798
14,33,277.34,2.77,27,33.33,1.15,6.8,715.79,0.32,39.8,1,148,9,18,2070.74,1793.4,798
13,34,276.45,2.76,26,38.46,1.16,7.71,771.02,0.32,41.2,4,151,10,16,1981.79,1705.34,798
7,33,261.81,2.62,34,32.35,1.13,6.6,659.53,0.24,30.9,1,153,11,23,2302.3,2040.49,827
15,32,260.91,2.61,26,34.62,1.14,6.99,736.78,0.27,41.3,1,148,9,17,2068.21,1807.29,798
14,30,242.9,2.43,26,42.31,1.14,8.63,862.59,0.21,41.1,4,151,11,15,1975.71,1732.81,798
8,31,236.15,2.36,35,28.57,1.12,7.19,719.45,0.16,29.9,1,153,10,25,2256.11,2019.96,827
7,34,223.41,2.23,32,31.25,1.12,6.6,659.53,0.13,33.0,1,153,10,22,2105.67,1882.25,827
9,33,219.22,2.19,31,32.26,1.11,8.16,816.32,0.13,34.0,1,151,10,21,2167.49,1948.26,1041
6,35,214.18,2.14,34,32.35,1.1,6.66,694.2,0.11,30.9,1,153,11,23,2273.11,2058.94,827
14,32,207.12,2.07,27,37.04,1.12,7.17,716.88,0.08,39.9,1,151,10,17,1971.93,1764.81,798
14,35,200.09,2.0,26,34.62,1.11,7.01,734.85,0.08,41.5,1,148,9,17,2009.69,1809.6,945
15,31,196.89,1.97,27,37.04,1.11,7.14,714.08,0.05,39.8,1,151,10,17,1967.08,1770.19,798
8,33,195.39,1.95,32,31.25,1.1,6.63,663.39,0.05,32.9,1,154,10,22,2093.76,1898.37,827
13,35,189.2,1.89,27,33.33,1.1,7.78,777.64,0.05,39.7,1,148,9,18,2047.61,1858.4,798
15,30,176.13,1.76,26,38.46,1.1,7.62,761.66,-0.02,41.3,3,151,10,16,1945.6,1769.47,798
13,31,171.46,1.71,27,40.74,1.1,8.77,876.56,-0.03,39.6,1,152,11,16,1966.25,1794.79,1042
9,29,168.51,1.69,35,28.57,1.09,7.24,723.72,-0.04,30.0,1,153,10,25,2104.75,1936.23,1040
14,31,165.96,1.66,26,38.46,1.09,8.63,862.59,-0.05,41.2,4,151,10,16,1932.7,1766.75,1041
12,34,164.29,1.64,26,38.46,1.09,8.77,876.56,-0.05,41.0,5,151,10,16,1949.5,1785.21,1042
7,31,135.19,1.35,37,29.73,1.06,7.3,729.66,-0.11,28.3,1,153,11,26,2262.66,2127.47,827
9,31,113.05,1.13,31,32.26,1.06,7.47,746.53,-0.21,33.8,2,154,10,21,1997.76,1884.71,1041
15,34,113.1,1.13,25,36.0,1.06,8.09,809.06,-0.17,43.0,1,148,9,16,2046.61,1933.51,945
14,29,111.86,1.12,27,40.74,1.06,9.21,920.56,-0.21,39.5,1,151,11,16,1968.07,1856.21,1041
8,34,83.25,0.83,32,31.25,1.04,7.34,733.57,-0.28,33.0,1,154,10,22,2089.5,2006.25,827
12,33,80.01,0.8,27,37.04,1.04,8.79,879.07,-0.33,39.5,1,152,10,17,1919.97,1839.96,1042
9,30,74.97,0.75,33,30.3,1.04,7.05,705.32,-0.33,31.6,1,153,10,23,1994.66,1919.69,1143
15,28,58.64,0.59,28,39.29,1.03,8.63,862.59,-0.39,38.2,1,152,11,17,1943.43,1884.79,1041
11,35,55.37,0.55,27,37.04,1.03,8.76,875.75,-0.41,39.4,1,151,10,17,1908.71,1853.34,1042
13,30,37.1,0.37,28,35.71,1.02,8.61,860.76,-0.43,38.1,1,151,10,18,1976.6,1939.5,1041
10,30,36.41,0.36,30,33.33,1.02,8.16,816.08,-0.39,34.7,3,153,10,20,2120.8,2084.4,1041
15,27,34.99,0.35,29,37.93,1.02,8.61,860.52,-0.43,36.7,1,151,11,18,2015.06,1980.07,1041
10,29,33.28,0.33,32,31.25,1.02,7.88,788.08,-0.47,32.6,1,153,10,22,1950.4,1917.11,1143
6,33,32.27,0.32,38,28.95,1.01,6.64,664.05,-0.37,27.5,1,154,11,27,2246.54,2214.27,828
6,34,23.45,0.23,37,29.73,1.01,7.11,730.6,-0.41,28.3,1,153,11,26,2258.2,2234.76,828
12,32,23.37,0.23,27,37.04,1.01,8.79,879.07,-0.5,39.6,1,151,10,17,1914.02,1890.65,1041
8,35,21.91,0.22,31,32.26,1.01,8.16,816.32,-0.46,34.1,1,151,10,21,2068.79,2046.88,1041
11,33,21.89,0.22,29,34.48,1.01,8.26,826.15,-0.46,36.8,1,151,10,19,2048.71,2026.82,1041
12,31,-9.03,-0.09,29,34.48,1.0,8.26,826.15,-0.55,36.7,1,151,10,19,2042.88,2051.91,1041
11,29,-17.49,-0.17,30,33.33,0.99,8.26,825.92,-0.56,35.0,3,151,10,20,2082.83,2100.32,1040
15,35,-18.1,-0.18,25,36.0,0.99,8.41,840.53,-0.57,43.2,2,148,9,16,1985.81,2003.91,944
11,28,-21.65,-0.22,30,33.33,0.99,8.48,847.6,-0.56,34.8,3,153,10,20,2104.02,2125.67,1040
9,34,-23.17,-0.23,30,33.33,0.99,8.48,847.83,-0.55,35.3,1,152,10,20,2137.24,2160.41,1041
8,30,-36.97,-0.37,38,26.32,0.98,7.38,737.82,-0.57,27.7,1,153,10,28,2218.53,2255.5,843
9,35,-46.57,-0.47,30,33.33,0.98,8.48,847.83,-0.62,35.3,1,152,10,20,2124.53,2171.11,1041
11,34,-46.75,-0.47,27,37.04,0.98,8.86,886.19,-0.75,39.5,1,152,10,17,1874.9,1921.65,1042
8,29,-49.11,-0.49,38,28.95,0.98,7.71,771.38,-0.59,27.5,1,153,11,27,2266.42,2315.52,843
10,28,-64.76,-0.65,35,28.57,0.97,7.76,776.36,-0.71,30.0,1,153,10,25,2049.35,2114.11,1993
12,27,-70.42,-0.7,30,33.33,0.97,8.7,870.17,-0.69,35.0,3,152,10,20,2099.65,2170.08,1040
9,32,-75.19,-0.75,32,31.25,0.96,8.16,816.08,-0.76,32.7,1,153,10,22,1992.19,2067.37,1993
7,30,-79.43,-0.79,39,28.21,0.97,7.71,771.38,-0.66,26.7,1,154,11,28,2214.79,2294.22,1040
10,33,-78.97,-0.79,29,34.48,0.96,8.48,847.83,-0.75,36.6,1,152,10,19,2029.88,2108.85,1041
8,27,-96.26,-0.96,41,29.27,0.96,8.51,850.93,-0.7,25.5,1,154,12,29,2211.75,2308.01,1142
12,28,-97.11,-0.97,30,33.33,0.96,8.7,870.17,-0.77,35.0,3,151,10,20,2092.78,2189.89,1040
14,26,-109.48,-1.09,30,33.33,0.95,8.73,873.49,-0.82,35.1,3,151,10,20,2033.61,2143.09,1143
10,35,-117.4,-1.17,30,33.33,0.94,8.26,826.15,-0.87,35.5,1,151,10,20,1995.59,2113.0,1041
12,29,-125.1,-1.25,31,32.26,0.94,8.26,825.92,-0.87,34.1,1,152,10,21,2020.03,2145.13,1143
13,27,-124.88,-1.25,30,33.33,0.94,8.7,870.17,-0.87,35.1,3,151,10,20,2033.42,2158.3,1143
11,26,-127.49,-1.27,37,27.03,0.94,8.5,850.44,-0.86,28.5,1,153,10,27,2061.71,2189.2,1993
11,31,-131.64,-1.32,30,33.33,0.94,8.26,825.92,-0.9,35.3,1,152,10,20,2026.19,2157.82,1143
14,25,-134.92,-1.35,32,31.25,0.94,9.38,937.95,-0.86,32.8,1,151,10,22,2066.45,2201.37,1143
9,26,-136.95,-1.37,38,31.58,0.94,8.69,868.61,-0.87,27.5,1,153,12,26,2098.24,2235.18,1142
11,32,-136.77,-1.37,30,33.33,0.94,8.26,826.15,-0.91,35.4,1,151,10,20,2023.88,2160.65,1143
10,32,-138.43,-1.38,30,33.33,0.94,8.48,847.6,-0.91,35.1,1,151,10,20,2040.79,2179.23,1143
10,31,-141.89,-1.42,31,32.26,0.94,8.48,847.6,-0.9,33.9,1,151,10,21,2056.69,2198.57,1143
15,26,-147.82,-1.48,32,31.25,0.93,8.71,870.98,-0.94,33.2,1,151,10,22,1955.56,2103.38,1992
11,30,-151.97,-1.52,31,32.26,0.93,8.26,825.92,-0.93,34.1,1,151,10,21,2035.71,2187.68,1143
14,28,-153.65,-1.54,30,33.33,0.93,8.61,860.52,-0.99,35.4,1,151,10,20,1949.68,2103.33,1992
6,31,-157.22,-1.57,40,32.5,0.93,7.38,745.9,-1.04,25.9,1,101,13,27,2026.49,2183.71,1271
13,26,-157.06,-1.57,31,32.26,0.93,9.18,917.88,-0.94,33.8,1,151,10,21,2045.04,2202.1,1143
10,27,-159.91,-1.6,38,26.32,0.93,8.5,850.41,-0.94,27.8,1,153,10,28,2067.32,2227.23,1993
10,34,-160.08,-1.6,30,33.33,0.93,8.48,847.83,-0.98,35.4,1,151,10,20,2019.09,2179.18,1143
8,28,-162.15,-1.62,40,27.5,0.93,8.45,845.46,-0.87,26.2,1,153,11,29,2205.38,2367.53,1040
8,26,-171.07,-1.71,41,29.27,0.93,8.72,872.26,-0.9,25.4,1,154,12,29,2151.82,2322.9,1142
10,26,-177.36,-1.77,38,26.32,0.92,8.73,873.47,-0.97,27.7,1,153,10,28,2109.15,2286.5,1993
15,24,-180.0,-1.8,32,31.25,0.92,9.51,950.81,-0.99,33.0,1,151,10,22,2050.38,2230.38,1143
13,28,-185.41,-1.85,31,32.26,0.92,8.73,873.49,-1.03,34.2,1,152,10,21,2032.58,2217.99,1992
11,25,-193.15,-1.93,38,26.32,0.91,8.73,873.47,-1.03,27.7,1,153,10,28,2052.04,2245.2,1993
12,30,-204.28,-2.04,31,32.26,0.91,8.26,825.92,-1.1,34.2,1,151,10,21,2015.9,2220.18,1992
13,22,-203.65,-2.04,37,27.03,0.91,9.03,902.94,-1.06,28.5,1,153,10,27,2050.57,2254.22,1993
