timestamp,initial_capital,final_equity,net_profit,net_profit_pct,win_rate_pct,profit_factor,max_drawdown_pct,total_trades,sharpe_ratio,sortino_ratio,sqn_score
2026-07-23 11:32:22,10000.0,10002.75,2.75,0.03,34.15,1.0,12.51,41,0.19,0.55,0.08
2026-07-23 11:41:57,10000.0,10235.59,235.59,2.36,35.71,1.06,12.51,42,0.55,1.56,0.23
