fast_ema,slow_ema,net_profit,net_profit_pct,total_trades,win_rate,profit_factor,max_drawdown_pct,max_drawdown_dollars,sharpe_ratio,avg_holding_bars,min_holding_bars,max_holding_bars,winning_trades,losing_trades,gross_profit,gross_loss,max_drawdown_duration_bars
6,25,344.34,3.44,44,31.82,1.22,4.82,481.76,1.22,24.4,1,74,14,30,1896.8,1552.45,944
6,34,286.29,2.86,34,35.29,1.22,4.64,464.37,1.0,32.0,1,162,12,22,1608.17,1321.88,954
6,35,227.31,2.27,34,35.29,1.17,5.51,551.14,0.8,32.1,1,163,12,22,1597.52,1370.21,954
6,33,219.57,2.2,36,33.33,1.16,4.87,487.28,0.77,30.2,1,162,12,24,1632.39,1412.82,954
6,32,181.74,1.82,36,30.56,1.12,4.97,496.64,0.65,30.1,1,161,11,25,1659.97,1478.22,953
7,23,180.18,1.8,43,32.56,1.12,4.6,476.36,0.72,24.9,1,73,14,29,1673.34,1493.16,944
6,27,172.37,1.72,42,33.33,1.11,4.53,482.27,0.62,25.6,1,123,14,28,1705.02,1532.65,916
6,28,148.27,1.48,41,34.15,1.09,4.48,475.94,0.55,26.2,1,123,14,27,1710.75,1562.48,916
6,26,146.91,1.47,44,31.82,1.09,4.62,462.4,0.59,24.6,1,74,14,30,1729.68,1582.77,1012
5,31,144.04,1.44,42,30.95,1.09,5.3,530.04,0.53,25.7,1,123,13,29,1788.5,1644.46,916
6,31,143.23,1.43,38,31.58,1.1,4.78,478.26,0.56,28.6,1,123,12,26,1646.48,1503.25,915
5,30,142.04,1.42,43,30.23,1.08,5.2,541.5,0.51,25.0,1,123,13,30,1850.43,1708.39,916
9,21,128.94,1.29,41,39.02,1.09,4.03,402.6,0.58,26.1,1,72,16,25,1487.63,1358.7,944
5,35,123.01,1.23,38,31.58,1.08,5.6,560.28,0.46,28.6,1,162,12,26,1670.98,1547.97,968
5,29,121.08,1.21,43,30.23,1.07,5.09,534.69,0.45,25.0,1,123,13,30,1857.99,1736.92,916
5,32,118.34,1.18,40,32.5,1.07,5.35,535.09,0.46,27.0,1,124,13,27,1714.73,1596.39,916
10,21,111.99,1.12,40,37.5,1.08,4.57,456.85,0.53,26.8,1,72,15,25,1452.68,1340.68,847
5,34,89.03,0.89,39,28.21,1.06,5.66,566.27,0.36,27.8,1,162,11,28,1686.11,1597.08,968
5,33,86.5,0.86,39,33.33,1.06,5.3,529.67,0.37,27.7,1,124,13,26,1644.91,1558.42,916
7,25,83.94,0.84,42,35.71,1.06,4.88,517.54,0.4,25.5,1,74,15,27,1556.9,1472.96,847
8,22,81.14,0.81,42,35.71,1.05,4.49,458.81,0.38,25.5,1,73,15,27,1570.95,1489.82,944
9,22,75.55,0.76,41,39.02,1.05,4.54,453.61,0.37,26.2,1,72,16,25,1483.56,1408.01,944
8,29,73.95,0.74,33,36.36,1.05,5.87,587.0,0.35,33.2,2,162,12,21,1433.41,1359.46,951
9,25,74.43,0.74,36,36.11,1.05,5.67,566.57,0.35,30.1,2,123,13,23,1495.64,1421.21,912
7,27,72.63,0.73,39,35.9,1.05,5.12,512.27,0.33,27.7,1,123,14,25,1540.49,1467.86,915
8,31,70.54,0.71,31,35.48,1.06,6.18,617.61,0.35,35.1,4,162,11,20,1352.44,1281.9,951
5,28,68.84,0.69,47,29.79,1.04,5.57,593.71,0.3,22.8,1,75,14,33,1853.31,1784.47,848
7,24,64.1,0.64,42,35.71,1.04,4.87,486.95,0.32,25.5,1,73,15,27,1586.06,1521.96,944
6,29,56.83,0.57,40,35.0,1.04,4.79,489.19,0.28,26.9,1,123,14,26,1628.71,1571.88,916
9,29,49.5,0.49,31,35.48,1.04,5.91,591.37,0.28,35.1,4,162,11,20,1359.74,1310.24,951
10,23,37.25,0.37,36,36.11,1.03,6.35,634.96,0.23,30.2,1,123,13,23,1454.34,1417.09,950
9,28,36.31,0.36,33,33.33,1.03,6.07,607.27,0.23,33.2,1,162,11,22,1370.45,1334.13,951
7,30,29.79,0.3,37,32.43,1.02,5.73,573.02,0.2,29.3,1,161,12,25,1460.37,1430.58,953
8,24,29.11,0.29,42,40.48,1.02,4.73,473.02,0.19,25.6,1,74,17,25,1433.86,1404.75,915
12,26,27.85,0.28,30,33.33,1.02,5.1,509.83,0.21,36.5,3,163,10,20,1332.22,1304.38,951
8,30,25.42,0.25,33,33.33,1.02,6.17,617.49,0.2,33.1,1,162,11,22,1363.14,1337.72,951
8,27,24.06,0.24,39,33.33,1.02,5.27,526.76,0.17,27.7,1,123,13,26,1443.13,1419.07,915
8,28,23.36,0.23,36,33.33,1.02,5.99,598.77,0.18,30.3,1,162,12,24,1425.59,1402.23,954
6,24,21.38,0.21,48,31.25,1.01,6.36,635.63,0.15,22.3,1,73,15,33,1801.8,1780.42,1011
7,26,21.25,0.21,41,36.59,1.01,4.98,524.71,0.16,26.3,1,123,15,26,1566.36,1545.11,915
7,31,13.84,0.14,35,34.29,1.01,5.67,567.25,0.15,31.1,1,162,12,23,1471.44,1457.6,954
